,dox_conc,line,Mean FITC-A,Mean PE-Texas Red-A,Mean FITC-A_stdErr,Mean PE-Texas Red-A_stdErr,MEFLs,MEFLs_stdErr,MEPTRs,MEPTRs_stdErr
0,A,373,27.63665771484375,0.9941293597221375,0.3532724767242337,0.08166901092516982,19457.33663590394,316.708359952312,390.64791051985816,33.102924074267946
1,A,664,4.477964878082275,0.9953377842903137,0.19085946289012676,0.049161164608710124,3152.6703038987207,138.07732481703619,391.122766762622,20.958106369544364
2,A,665,5.425079345703125,1.6632577180862427,0.6316434250256928,0.15896014936924407,3819.4776009090206,446.3652524350859,653.5851153294826,63.9235181488892
3,A,666,4.72871732711792,1.3920621871948242,0.2113830037049624,0.29009370444276794,3329.210277129397,152.55670710521383,547.0175278731908,114.55901680586807
4,A,667,3.8739430904388428,0.9725673794746399,0.4068709920194797,0.03411804875572565,2727.4142769629325,287.76926574268623,382.17502673669566,15.582319120863687
5,A,668,4.164062023162842,1.0335999727249146,0.35131574336715177,0.046929305025628004,2931.6698637529407,249.09864377538327,406.1580776280728,20.280595672019857
6,A,669,4.834921360015869,0.917308509349823,0.2141997156121355,0.03764924461914763,3403.982257211349,154.65722544945305,360.46078810080877,16.5824606507518
7,A,670,3.765415906906128,0.9746594429016113,0.39552718716780516,0.0559561514860685,2651.006703879,279.7457358641718,382.99711311653044,23.384166785752328
8,A,671,4.549753189086914,0.9052668213844299,0.08437115069653463,0.06325178954591694,3203.2122090796065,67.60435620423246,355.7289489323854,25.930959777550996
9,A,672,3.80841064453125,2.7126619815826416,0.2916822380351039,0.13124307073584743,2681.2767565089543,207.12605404345896,1065.953564984848,56.127953426469055
10,B,373,60.882511138916016,1.0738004446029663,0.7402778682863331,0.039638397970006345,42863.7763181038,676.9063572251915,421.9550462896388,17.874334221069855
11,B,664,4.658931732177734,1.1019290685653687,0.3466706350575955,0.02255110367088014,3280.078365915737,246.2982238377679,433.0083242853541,12.628724696613823
12,B,665,4.805541515350342,2.913266181945801,0.27503309740822157,0.4881069724532757,3383.2976457121554,196.61302655276555,1144.781949789094,193.2734531132385
13,B,666,6.685394287109375,1.9798979759216309,0.3742222556376245,0.48232702534959127,4706.790833038024,267.70293341467107,778.0104266837683,190.22095165101848
14,B,667,5.531538009643555,1.2145036458969116,0.05561099313334578,0.12674638120899437,3894.42885165252,55.43454909260741,477.24504557534317,50.783279756582424
15,B,668,5.552770137786865,1.4466882944107056,0.15964134155775261,0.3111881012201766,3909.377137695052,119.0980319730384,568.4831192824238,122.8520980239169
16,B,669,5.437621593475342,1.1295448541641235,0.1428919590903575,0.07014952266065883,3828.3078559851933,107.74480916384174,443.86007998094414,29.06764303523094
17,B,670,3.7414398193359375,1.2521408796310425,0.2094919101750723,0.1753357670898599,2634.126558244944,149.86037792821423,492.0347774871894,69.65350075729096
18,B,671,4.829730987548828,1.059152603149414,0.22019488533627743,0.06039765638379603,3400.3280228462904,158.767754836963,416.1991065806901,25.260151616004343
19,B,672,4.035053253173828,2.566876173019409,0.21359215964032663,0.09543160860135734,2840.8424166513355,153.07817166893636,1008.6663307414165,42.96010786412406
