line,DoxConc,MEFLs,MEPTRs
373,0,18979.12661,336.4166862
373,1,42255.94567,360.6422959
373,1.479108388,76546.89488,325.1515319
373,2.13796209,156401.5602,279.7257202
373,3.16227766,473946.7599,323.4365119
373,4.265795188,1087294.682,275.0474728
373,5.623413252,2035515.611,410.9744371
373,7.58577575,3138186.117,369.9080835
373,10,4717321.715,261.5857626
373,12.02264435,5732440.166,291.4018167
373,17.7827941,7198504.1,215.6774947
373,21.3796209,7785524.466,264.0111894
373,31.6227766,8346072.687,293.6652855
373,56.23413252,9267203.567,231.9031398
373,100,9340398.19,308.5513588
373,1000,9826716.049,383.0113039
664,0,2759.041224,315.4613932
664,1,2973.710533,947.5449664
664,1.479108388,3176.437743,413.3831685
664,2.13796209,6664.853026,920.5894698
664,3.16227766,25307.70921,2221.638353
664,4.265795188,92106.94528,6671.593067
664,5.623413252,550547.9757,44460.79092
664,7.58577575,1246712.102,113397.844
664,10,2893435.37,283252.6219
664,12.02264435,4168048.908,467901.2711
664,17.7827941,6407990.901,922914.3814
664,21.3796209,6960305.907,1125258.199
664,31.6227766,7775227.135,1385957.879
664,56.23413252,8461882.503,1571784.248
664,100,8407005.754,1555576.64
664,1000,9053820.563,1514998.421
665,0,3440.562037,628.0216078
665,1,2971.020149,1051.472992
665,1.479108388,3676.747583,5524.884147
665,2.13796209,5861.227668,5497.920763
665,3.16227766,18607.25096,20846.51037
665,4.265795188,65386.41821,43690.23585
665,5.623413252,186384.8129,118135.8061
665,7.58577575,514750.774,253328.034
665,10,986395.5289,438794.8949
665,12.02264435,1452620.341,734055.347
665,17.7827941,1964434.589,1152837.274
665,21.3796209,2049398.445,1470943.684
665,31.6227766,2397198.341,2072012.828
665,56.23413252,2883977.852,2893025.47
665,100,3660567.996,4206230.88
665,1000,3232981.646,3981167.92
666,0,3434.980698,521.6448867
666,1,4787.394424,968.9418317
666,1.479108388,9639.59446,813.2120794
666,2.13796209,9546.156469,3356.019531
666,3.16227766,18619.05613,7511.840701
666,4.265795188,66763.81916,22401.8122
666,5.623413252,325314.1375,94570.19181
666,7.58577575,992843.0418,242911.4295
666,10,2149605.406,486813.314
666,12.02264435,3605305.953,953074.7122
666,17.7827941,5682413.675,1630266.435
666,21.3796209,6602675.799,2041405.436
666,31.6227766,7623173.31,2407994.481
666,56.23413252,8384156.171,2662658.645
666,100,8955167.212,2753710.551
666,1000,6317126.572,1886911.835
667,0,2883.975915,360.9992083
667,1,3425.134576,479.7630902
667,1.479108388,3722.312294,698.1493068
667,2.13796209,8084.028106,1661.839202
667,3.16227766,33863.06125,5909.932546
667,4.265795188,190712.5768,27322.00577
667,5.623413252,581617.4325,85296.08057
667,7.58577575,1275064.488,208027.6976
667,10,2603557.587,431693.8301
667,12.02264435,3830319.401,763149.0941
667,17.7827941,5374057.42,1241918.829
667,21.3796209,6041937.692,1480069.684
667,31.6227766,6588014.549,1729337.079
667,56.23413252,6834774.172,1815633.273
667,100,7219993.412,1846731.584
667,1000,5067254.008,1267964.654
668,0,3004.379496,324.8466774
668,1,4716.786634,743.9925022
668,1.479108388,4335.626983,462.6374737
668,2.13796209,8167.871219,1010.690328
668,3.16227766,29196.23539,2398.544513
668,4.265795188,145223.1809,14018.60229
668,5.623413252,365139.1323,42660.31945
668,7.58577575,1173302.592,120711.4512
668,10,2505181.526,258530.2704
668,12.02264435,4066116.518,504366.7366
668,17.7827941,5932235.062,889296.5487
668,21.3796209,6725460.981,1076252.55
668,31.6227766,7628038.528,1318517.129
668,56.23413252,8104821.592,1429479.718
668,100,8390888.253,1436604.011
668,1000,5906267.807,972030.4339
669,0,3238.936435,314.029011
669,1,3435.472109,401.847865
669,1.479108388,4345.626538,459.9691099
669,2.13796209,5510.591324,471.9471688
669,3.16227766,21311.16583,998.0261826
