,CellLine,DoxConc,Mean FITC-A,Mean PE-Texas Red-A,MEFLs,MEPTRs,Mean FITC-A_stdErr,Mean PE-Texas Red-A_stdErr,MEFLs_stdErr,MEPTRs_stdErr,
0,373,0.0,28.306562,1.0070628,19929.21362865369,395.73205641103357,0.4421296737912762,0.05448368462164811,370.56174467755585,22.935926105839542,
1,373,1.0,62.630947,1.0744494,44095.270421649744,422.2120820326889,0.30122412523264924,0.024006103188012974,492.8043834756171,12.885226429063314,
2,373,1.4791083881682074,112.65216,0.9840893,79312.66755775639,386.7044747210921,2.3558629797966835,0.08810478974142898,1841.5424527332166,35.542461484934506,
3,373,2.137962089502232,229.00172,0.9178354,161228.4888379794,360.66956161616645,4.495693678797415,0.13597529298441094,3558.6349792615497,53.95590612035274,
4,373,3.1622776601683795,684.6709,0.95624906,482042.0224836583,375.76445974849975,14.030722219945421,0.08017752709859532,11010.39440526497,32.46027211500001,
5,373,4.265795188015927,1578.1729,0.78030944,1111111.3893289482,306.6278101328996,56.61366656145717,0.03931600356703533,41404.90197781121,16.71286855316944,
6,373,5.623413251903491,2979.416,1.091712,2097655.567469955,428.99552745840055,173.70668551804374,0.04672012346722201,124115.33640442631,20.41050114310424,
7,373,7.5857757502918375,4626.946,0.8090258,3257597.6528590014,317.91210572448847,75.76359427787855,0.07458196967964872,62651.937122620366,30.043429994758174,
8,373,10.0,6867.5903,0.39737144,4835121.721686199,156.1497641293747,64.28589013146062,0.07696919128490501,66541.0573969581,30.419260409697365,
9,373,12.02264434617413,8340.821,0.40436092,5872348.850418481,158.8963266510434,40.9858344912721,0.030671202664070727,65894.8847258542,12.496928392464875,
10,373,17.78279410038923,10529.651,0.0935513,7413392.993145037,36.76160888760109,30.023832773983035,0.03068006179838267,77716.84563202597,12.080133512311935,
11,373,21.379620895022324,11401.964,0.14155848,8027543.941721043,55.626352277045065,38.405972264317434,0.03541141808544997,85377.47448505349,13.963121800826855,
